Wiek,Płeć,Ocena_satysfakcji,Dochód_miesięczny,Region,Preferowany_system
48,Mężczyzna,6,13301,Zachód,Android
19,Kobieta,4,11485,Centrum,macOS
39,Mężczyzna,2,12601,Północ,Linux
36,Kobieta,10,13724,Wschód,iOS
89,Mężczyzna,2,6726,Zachód,macOS
53,Mężczyzna,8,6328,Północ,Android
70,Kobieta,3,4080,Zachód,iOS
53,Mężczyzna,7,6660,Wschód,Android
46,Mężczyzna,6,14977,Zachód,macOS
87,Kobieta,2,14120,Południe,Linux
72,Mężczyzna,6,9763,Wschód,Windows
61,Kobieta,10,14625,Północ,macOS
34,Kobieta,10,11499,Zachód,iOS
51,Kobieta,6,9633,Północ,iOS
71,Kobieta,2,15784,Południe,iOS
88,Mężczyzna,3,1757,Wschód,Android
24,Kobieta,4,7698,Zachód,macOS
46,Mężczyzna,1,4488,Centrum,macOS
31,Mężczyzna,10,7081,Wschód,iOS
30,Kobieta,6,7191,Zachód,macOS
74,Kobieta,1,6879,Południe,Windows
75,Kobieta,10,10620,Wschód,Linux
24,Kobieta,1,4166,Wschód,macOS
32,Kobieta,4,8784,Zachód,Linux
18,Kobieta,3,9455,Północ,Android
22,Kobieta,10,9197,Południe,macOS
43,Mężczyzna,2,9227,Północ,Windows
33,Kobieta,9,8089,Południe,Android
71,Mężczyzna,2,15745,Południe,Android
80,Kobieta,5,13910,Wschód,Windows
67,Kobieta,3,19139,Północ,Windows
33,Kobieta,5,6131,Południe,Windows
29,Kobieta,7,10894,Wschód,macOS
89,Kobieta,1,6337,Wschód,Windows
20,Mężczyzna,8,18906,Zachód,Linux
55,Kobieta,1,13349,Północ,iOS
69,Kobieta,6,19865,Wschód,macOS
75,Kobieta,4,15471,Południe,Android
38,Kobieta,7,7682,Zachód,Android
77,Mężczyzna,6,12433,Południe,macOS
81,Mężczyzna,1,10686,Wschód,Android
49,Kobieta,4,19051,Wschód,Android
83,Mężczyzna,3,15202,Centrum,Windows
68,Mężczyzna,5,13424,Północ,Linux
82,Kobieta,1,4437,Centrum,iOS
28,Mężczyzna,7,8491,Zachód,Windows
26,Kobieta,10,9481,Wschód,iOS
82,Mężczyzna,3,7830,Południe,Linux
53,Kobieta,7,14196,Centrum,Linux
43,Mężczyzna,6,4429,Zachód,Android
39,Mężczyzna,9,10166,Północ,Android
87,Mężczyzna,2,7974,Centrum,Linux
66,Kobieta,6,11249,Północ,iOS
86,Kobieta,3,1585,Południe,iOS
30,Kobieta,5,4980,Południe,Linux
31,Mężczyzna,6,17618,Wschód,Android
86,Mężczyzna,3,15032,Wschód,Android
33,Mężczyzna,5,14101,Wschód,Windows
27,Mężczyzna,6,8594,Centrum,Windows
79,Kobieta,8,4075,Wschód,macOS
71,Kobieta,3,10512,Zachód,macOS
79,Mężczyzna,3,18584,Wschód,macOS
26,Mężczyzna,2,11599,Zachód,Android
35,Kobieta,7,5284,Północ,Windows
23,Kobieta,7,19377,Północ,Android
24,Kobieta,6,12961,Północ,iOS
84,Kobieta,6,16232,Północ,macOS
86,Kobieta,5,12257,Południe,macOS
62,Kobieta,10,4401,Zachód,iOS
74,Mężczyzna,9,11012,Centrum,Linux
88,Mężczyzna,7,8186,Południe,Linux
48,Kobieta,10,7481,Centrum,macOS
57,Kobieta,8,16741,Wschód,Android
54,Mężczyzna,7,16412,Południe,Android
39,Kobieta,6,10574,Południe,Linux
58,Mężczyzna,10,4655,Centrum,Windows
47,Mężczyzna,8,10911,Południe,Linux
84,Mężczyzna,2,4638,Centrum,Android
90,Kobieta,8,6413,Wschód,Linux
49,Kobieta,1,9153,Wschód,Linux
59,Mężczyzna,1,6194,Południe,Linux
74,Mężczyzna,10,14725,Zachód,macOS
80,Mężczyzna,7,4246,Wschód,iOS
29,Kobieta,2,9500,Centrum,Linux
30,Kobieta,10,17110,Południe,Linux
70,Mężczyzna,8,18571,Zachód,Android
73,Kobieta,8,11788,Północ,iOS
29,Kobieta,4,17808,Północ,macOS
52,Mężczyzna,5,18510,Centrum,Windows
38,Mężczyzna,9,10980,Centrum,iOS
30,Kobieta,8,18053,Wschód,iOS
75,Mężczyzna,10,9417,Centrum,Linux
76,Mężczyzna,7,18736,Centrum,iOS
47,Mężczyzna,7,14545,Północ,iOS
27,Kobieta,10,10086,Zachód,iOS
40,Kobieta,2,17222,Południe,macOS
40,Kobieta,9,16261,Zachód,Windows
71,Mężczyzna,9,1570,Południe,Windows
27,Mężczyzna,4,10969,Centrum,macOS
86,Kobieta,4,6032,Wschód,macOS
25,Kobieta,9,9530,Centrum,Linux
20,Mężczyzna,1,4279,Zachód,Linux
38,Kobieta,5,8748,Wschód,Linux
64,Mężczyzna,1,18530,Wschód,Windows
53,Kobieta,3,1704,Wschód,Android
19,Mężczyzna,7,15687,Centrum,iOS
40,Kobieta,1,1037,Wschód,iOS
89,Mężczyzna,9,19187,Centrum,Linux
78,Kobieta,8,13308,Północ,macOS
70,Mężczyzna,4,12867,Południe,iOS
18,Mężczyzna,9,2870,Centrum,iOS
22,Mężczyzna,8,2484,Południe,Linux
55,Kobieta,4,14112,Północ,Linux
52,Mężczyzna,2,18973,Centrum,iOS
21,Kobieta,6,2604,Wschód,Linux
87,Kobieta,6,11843,Centrum,iOS
87,Mężczyzna,9,2303,Południe,Android
63,Kobieta,2,11701,Południe,Android
20,Mężczyzna,10,13483,Zachód,iOS
67,Kobieta,2,12198,Południe,macOS
57,Kobieta,3,10419,Centrum,Linux
36,Mężczyzna,5,8841,Północ,Android
44,Mężczyzna,5,1599,Północ,Linux
67,Mężczyzna,6,6332,Centrum,Android
28,Kobieta,10,5183,Południe,Android
31,Mężczyzna,3,4405,Wschód,Windows
31,Mężczyzna,6,6592,Zachód,Windows
55,Mężczyzna,3,16179,Wschód,Linux
81,Mężczyzna,8,15695,Centrum,macOS
77,Mężczyzna,10,17801,Wschód,Android
55,Mężczyzna,7,18584,Wschód,iOS
58,Kobieta,6,3611,Wschód,Windows
51,Kobieta,1,7573,Centrum,Linux
44,Kobieta,2,10072,Zachód,Windows
83,Kobieta,5,5002,Północ,iOS
41,Mężczyzna,6,8094,Centrum,Android
56,Mężczyzna,2,14079,Wschód,Linux
47,Mężczyzna,7,9645,Północ,Windows
76,Kobieta,8,10784,Wschód,macOS
54,Mężczyzna,8,15269,Wschód,Android
21,Mężczyzna,1,16510,Północ,Android
45,Kobieta,8,4245,Południe,iOS
21,Mężczyzna,7,3622,Północ,Windows
37,Kobieta,2,1637,Wschód,Windows
62,Kobieta,6,12172,Zachód,iOS
48,Kobieta,4,10817,Centrum,Android
31,Kobieta,5,1524,Centrum,Windows
35,Kobieta,10,2454,Centrum,Linux
60,Mężczyzna,4,19682,Centrum,Android
62,Mężczyzna,7,17350,Centrum,Android
89,Kobieta,9,1139,Wschód,macOS
29,Mężczyzna,5,13668,Centrum,Windows
18,Kobieta,10,18162,Wschód,iOS
21,Mężczyzna,4,4693,Wschód,Linux
47,Kobieta,5,12452,Wschód,Android
84,Mężczyzna,9,7244,Zachód,Linux
73,Kobieta,4,2807,Północ,Linux
46,Kobieta,4,8187,Wschód,Android
74,Mężczyzna,4,17956,Centrum,iOS
40,Kobieta,3,16227,Południe,iOS
21,Mężczyzna,1,8894,Południe,macOS
76,Mężczyzna,8,16869,Południe,Windows
50,Kobieta,10,18285,Południe,macOS
31,Mężczyzna,5,19278,Wschód,macOS
88,Kobieta,2,1444,Północ,macOS
90,Mężczyzna,3,2553,Centrum,iOS
46,Mężczyzna,4,19183,Południe,Linux
28,Mężczyzna,2,10282,Wschód,Linux
20,Kobieta,2,18709,Zachód,Android
76,Kobieta,3,3615,Centrum,Linux
49,Mężczyzna,7,2511,Północ,iOS
50,Mężczyzna,10,8328,Centrum,Windows
55,Kobieta,3,17808,Centrum,Android
63,Mężczyzna,7,15289,Zachód,iOS
27,Mężczyzna,1,11479,Południe,Windows
27,Mężczyzna,7,17741,Północ,Linux
83,Mężczyzna,5,14341,Północ,macOS
68,Mężczyzna,4,9975,Wschód,Windows
31,Mężczyzna,8,16170,Zachód,Android
57,Mężczyzna,10,5323,Południe,Linux
71,Kobieta,6,2686,Wschód,Android
26,Kobieta,9,6984,Południe,Windows
53,Kobieta,7,18250,Północ,Linux
61,Kobieta,8,12018,Centrum,Linux
61,Mężczyzna,3,13849,Południe,Windows
52,Kobieta,4,3334,Centrum,Linux
39,Mężczyzna,3,2862,Wschód,Android
75,Mężczyzna,10,18834,Zachód,macOS
30,Mężczyzna,10,8542,Centrum,iOS
25,Mężczyzna,10,17221,Wschód,macOS
47,Mężczyzna,7,12687,Centrum,Android
69,Mężczyzna,6,16064,Zachód,Android
85,Kobieta,10,1677,Centrum,iOS
79,Kobieta,7,17497,Centrum,Windows
37,Mężczyzna,8,17465,Wschód,iOS
48,Mężczyzna,9,19366,Południe,macOS
20,Kobieta,3,1022,Zachód,Windows
42,Mężczyzna,8,10742,Południe,Android
64,Kobieta,6,9582,Północ,Windows
26,Mężczyzna,4,18168,Centrum,Android
46,Mężczyzna,5,10091,Południe,Linux
81,Mężczyzna,7,4755,Północ,iOS
73,Mężczyzna,5,15836,Zachód,macOS
63,Kobieta,2,3856,Wschód,iOS
75,Mężczyzna,7,19098,Południe,Windows
50,Kobieta,7,5226,Centrum,Windows
40,Kobieta,7,11427,Południe,iOS
53,Kobieta,2,2215,Północ,macOS
60,Kobieta,5,6076,Północ,Android
89,Mężczyzna,6,19808,Południe,Android
65,Mężczyzna,10,19870,Zachód,iOS
39,Mężczyzna,10,7166,Południe,Windows
75,Mężczyzna,2,7965,Południe,Android
65,Kobieta,2,17136,Południe,iOS
23,Kobieta,3,2595,Zachód,iOS
33,Mężczyzna,8,18220,Centrum,iOS
70,Mężczyzna,5,5821,Wschód,macOS
89,Mężczyzna,9,3954,Południe,Android
65,Kobieta,5,12635,Zachód,Android
40,Kobieta,7,10995,Zachód,iOS
62,Kobieta,1,2623,Zachód,Linux
84,Mężczyzna,8,1987,Północ,Android
22,Kobieta,7,4474,Centrum,Linux
40,Kobieta,9,13795,Centrum,iOS
73,Kobieta,2,5706,Centrum,macOS
88,Kobieta,8,16373,Centrum,Windows
37,Mężczyzna,7,15339,Wschód,Windows
34,Kobieta,1,13016,Południe,Android
39,Kobieta,9,19608,Wschód,Android
87,Kobieta,4,6572,Centrum,Windows
31,Mężczyzna,8,1064,Zachód,Linux
19,Kobieta,6,7317,Zachód,macOS
60,Mężczyzna,2,15273,Północ,macOS
48,Mężczyzna,3,13851,Zachód,macOS
33,Kobieta,4,6290,Centrum,iOS
58,Mężczyzna,10,3020,Północ,macOS
66,Mężczyzna,8,1898,Północ,iOS
36,Mężczyzna,1,9740,Południe,Linux
86,Mężczyzna,8,3613,Południe,Windows
39,Kobieta,4,6314,Centrum,Windows
84,Mężczyzna,1,15263,Zachód,Linux
51,Kobieta,10,15253,Wschód,Linux
85,Kobieta,4,15180,Zachód,Linux
48,Mężczyzna,5,18485,Zachód,macOS
44,Mężczyzna,2,15799,Południe,Linux
49,Kobieta,2,13196,Centrum,Windows
86,Mężczyzna,7,18421,Południe,Android
32,Kobieta,7,19820,Zachód,Linux
22,Kobieta,1,16452,Południe,Android
90,Mężczyzna,8,14310,Północ,Linux
53,Kobieta,2,6223,Wschód,iOS
39,Mężczyzna,4,16681,Zachód,iOS
40,Mężczyzna,2,8278,Południe,Linux
54,Mężczyzna,10,14285,Zachód,Android
50,Kobieta,10,4455,Północ,macOS
82,Kobieta,7,15569,Północ,macOS
52,Kobieta,8,3815,Centrum,Windows
77,Kobieta,8,2949,Zachód,iOS
30,Kobieta,7,5344,Wschód,iOS
57,Kobieta,10,12870,Centrum,iOS
53,Kobieta,7,2718,Wschód,Android
84,Mężczyzna,8,19792,Północ,iOS
60,Mężczyzna,2,4862,Centrum,Android
38,Kobieta,3,19935,Zachód,Linux
54,Kobieta,1,5850,Północ,Windows
36,Kobieta,10,10970,Zachód,iOS
78,Mężczyzna,9,1373,Zachód,macOS
59,Kobieta,7,6379,Centrum,Windows
30,Mężczyzna,5,10904,Zachód,macOS
63,Mężczyzna,2,13167,Południe,Windows
20,Mężczyzna,1,10643,Południe,Android
86,Kobieta,7,14187,Centrum,Windows
49,Mężczyzna,7,15003,Wschód,Android
75,Mężczyzna,8,15747,Centrum,Linux
79,Mężczyzna,5,5574,Północ,macOS
19,Mężczyzna,7,15535,Centrum,macOS
53,Kobieta,7,10170,Zachód,macOS
53,Mężczyzna,8,8417,Centrum,iOS
68,Mężczyzna,6,15085,Wschód,iOS
35,Kobieta,3,14770,Wschód,Linux
63,Mężczyzna,6,14456,Centrum,iOS
18,Mężczyzna,4,15330,Centrum,Android
38,Mężczyzna,7,15204,Wschód,Windows
68,Mężczyzna,3,5274,Północ,Windows
27,Mężczyzna,5,9409,Południe,iOS
43,Mężczyzna,7,17591,Zachód,iOS
42,Mężczyzna,9,4433,Północ,iOS
30,Mężczyzna,10,1107,Centrum,Android
48,Mężczyzna,3,6867,Zachód,Windows
70,Kobieta,1,12515,Centrum,macOS
73,Mężczyzna,4,13569,Południe,Windows
41,Kobieta,6,3730,Centrum,Linux
26,Mężczyzna,1,16499,Zachód,Android
38,Mężczyzna,10,15972,Północ,Linux
21,Mężczyzna,8,15355,Zachód,Android
86,Kobieta,1,7130,Centrum,iOS
50,Mężczyzna,3,10347,Wschód,iOS
28,Mężczyzna,3,6704,Zachód,Windows
53,Mężczyzna,5,15152,Zachód,iOS
68,Kobieta,3,11301,Północ,iOS
71,Mężczyzna,1,9850,Północ,Windows
45,Mężczyzna,5,8218,Wschód,iOS
80,Kobieta,2,13602,Wschód,Windows
38,Kobieta,5,2357,Centrum,Android
87,Kobieta,10,10800,Centrum,macOS
43,Kobieta,6,11042,Centrum,Windows
48,Mężczyzna,9,5277,Zachód,macOS
23,Mężczyzna,4,1576,Południe,macOS
50,Mężczyzna,8,5359,Południe,macOS
88,Mężczyzna,5,8407,Wschód,iOS
66,Kobieta,6,12961,Zachód,Linux
20,Mężczyzna,9,14125,Zachód,iOS
53,Mężczyzna,7,19362,Zachód,Linux
69,Mężczyzna,7,1560,Zachód,Windows
19,Kobieta,7,1802,Zachód,macOS
20,Kobieta,1,6320,Południe,Android
75,Kobieta,3,16554,Południe,iOS
49,Kobieta,1,12131,Wschód,Linux
56,Kobieta,1,12724,Południe,Android
30,Kobieta,4,16933,Północ,Linux
39,Kobieta,3,3248,Centrum,iOS
44,Mężczyzna,4,2187,Zachód,macOS
64,Kobieta,3,10990,Wschód,iOS
46,Mężczyzna,2,1682,Północ,iOS
60,Kobieta,1,10285,Południe,Windows
74,Mężczyzna,4,10904,Centrum,Android
31,Mężczyzna,10,14337,Południe,Linux
42,Mężczyzna,4,14205,Południe,macOS
47,Kobieta,4,15621,Zachód,iOS
21,Mężczyzna,9,13817,Centrum,iOS
53,Mężczyzna,9,17542,Zachód,Windows
63,Mężczyzna,2,11047,Południe,Linux
36,Mężczyzna,8,14479,Zachód,iOS
35,Kobieta,7,9456,Południe,macOS
27,Mężczyzna,1,13163,Zachód,macOS
31,Mężczyzna,2,17997,Centrum,macOS
47,Kobieta,2,19149,Zachód,Linux
43,Mężczyzna,6,15722,Północ,Windows
21,Mężczyzna,5,8764,Wschód,iOS
83,Mężczyzna,7,3390,Wschód,Linux
73,Kobieta,9,11507,Południe,Linux
79,Mężczyzna,5,18319,Centrum,Android
75,Mężczyzna,1,10771,Południe,Windows
66,Kobieta,6,4103,Zachód,Android
48,Kobieta,7,19125,Północ,Linux
28,Kobieta,1,14505,Południe,Windows
35,Mężczyzna,6,19680,Północ,Linux
73,Kobieta,5,2091,Północ,macOS
54,Kobieta,8,17449,Zachód,Windows
31,Mężczyzna,2,14398,Północ,Windows
66,Kobieta,8,17592,Centrum,Linux
68,Mężczyzna,1,10855,Południe,Linux
88,Mężczyzna,8,10854,Północ,Linux
80,Kobieta,2,18808,Centrum,Android
61,Mężczyzna,3,18510,Północ,iOS
82,Mężczyzna,6,5323,Zachód,iOS
54,Mężczyzna,2,17960,Wschód,macOS
29,Kobieta,4,6420,Zachód,iOS
71,Mężczyzna,10,11738,Zachód,Linux
37,Mężczyzna,7,16947,Wschód,Windows
79,Mężczyzna,4,11667,Wschód,iOS
59,Kobieta,1,12036,Północ,Android
34,Mężczyzna,6,4981,Zachód,Windows
82,Mężczyzna,7,18865,Centrum,Linux
25,Kobieta,8,14161,Południe,macOS
41,Kobieta,1,18334,Zachód,Windows
83,Kobieta,10,10057,Centrum,Windows
28,Mężczyzna,4,9394,Południe,iOS
32,Mężczyzna,1,18780,Południe,Linux
88,Kobieta,2,18900,Północ,Windows
23,Mężczyzna,9,15207,Północ,macOS
72,Mężczyzna,9,8391,Centrum,macOS
68,Kobieta,8,4155,Wschód,iOS
74,Kobieta,9,18977,Zachód,macOS
23,Kobieta,5,11590,Zachód,Windows
34,Kobieta,9,16554,Wschód,iOS
68,Mężczyzna,7,2938,Zachód,Windows
74,Kobieta,2,15702,Południe,Windows
90,Kobieta,2,5149,Centrum,Windows
52,Kobieta,5,7325,Północ,macOS
32,Mężczyzna,1,18545,Wschód,macOS
31,Kobieta,3,18893,Centrum,macOS
31,Kobieta,2,8351,Centrum,Windows
75,Mężczyzna,7,5414,Północ,iOS
39,Kobieta,9,14884,Zachód,Windows
58,Kobieta,6,17650,Wschód,iOS
76,Kobieta,6,1237,Północ,macOS
24,Mężczyzna,9,6904,Północ,Android
79,Mężczyzna,3,9459,Centrum,Windows
27,Mężczyzna,2,15691,Wschód,iOS
18,Kobieta,3,8830,Zachód,Android
34,Mężczyzna,5,2215,Północ,Linux
18,Kobieta,9,17951,Wschód,macOS
31,Kobieta,5,13962,Północ,Windows
63,Kobieta,1,5562,Wschód,Windows
45,Kobieta,5,16517,Zachód,macOS
30,Mężczyzna,2,11704,Zachód,Android
24,Kobieta,10,5838,Wschód,iOS
38,Kobieta,6,1469,Wschód,Linux
55,Kobieta,8,7341,Północ,Android
80,Mężczyzna,1,1951,Wschód,Android
42,Kobieta,2,13215,Centrum,Windows
89,Mężczyzna,1,18492,Centrum,Android
42,Kobieta,10,4728,Zachód,iOS
57,Kobieta,6,14555,Północ,macOS
23,Mężczyzna,7,13305,Południe,iOS
65,Kobieta,4,15903,Południe,Windows
59,Mężczyzna,6,1655,Zachód,iOS
55,Kobieta,1,5590,Wschód,macOS
20,Kobieta,10,2646,Zachód,iOS
29,Kobieta,3,11268,Wschód,Linux
31,Kobieta,9,11162,Zachód,macOS
60,Kobieta,7,10932,Zachód,iOS
28,Mężczyzna,5,10354,Zachód,Linux
81,Mężczyzna,9,17811,Północ,iOS
53,Kobieta,10,17286,Północ,Android
46,Mężczyzna,1,18869,Wschód,Linux
35,Kobieta,2,9249,Centrum,iOS
27,Mężczyzna,8,13213,Zachód,macOS
55,Kobieta,5,8785,Centrum,iOS
60,Kobieta,10,6565,Wschód,Linux
59,Mężczyzna,9,15485,Północ,Linux
32,Kobieta,5,8576,Centrum,iOS
20,Mężczyzna,5,3425,Północ,iOS
58,Mężczyzna,6,5050,Południe,Android
29,Mężczyzna,5,17382,Wschód,Android
89,Mężczyzna,2,4046,Zachód,Windows
87,Mężczyzna,9,14237,Wschód,Android
54,Kobieta,10,1172,Południe,Android
35,Mężczyzna,3,5398,Wschód,Android
80,Kobieta,9,15716,Południe,Android
52,Kobieta,9,16249,Południe,iOS
72,Mężczyzna,7,1667,Południe,Android
50,Mężczyzna,1,18586,Centrum,Linux
35,Mężczyzna,10,17399,Południe,Android
87,Kobieta,9,2262,Centrum,Linux
39,Kobieta,8,1184,Centrum,Windows
29,Kobieta,2,4318,Północ,Windows
36,Kobieta,3,8892,Północ,iOS
36,Mężczyzna,10,15815,Zachód,macOS
62,Kobieta,9,4657,Zachód,Android
30,Kobieta,2,6799,Północ,Android
50,Kobieta,10,3015,Południe,Android
77,Mężczyzna,1,4291,Północ,Windows
83,Mężczyzna,7,16590,Zachód,macOS
42,Kobieta,7,4357,Wschód,Windows
51,Mężczyzna,7,5989,Południe,iOS
20,Kobieta,2,2327,Zachód,Linux
78,Mężczyzna,2,2466,Północ,macOS
88,Mężczyzna,4,4027,Północ,Windows
68,Kobieta,9,7145,Zachód,macOS
70,Kobieta,2,10061,Północ,Linux
83,Mężczyzna,4,7029,Wschód,iOS
35,Mężczyzna,4,16277,Południe,Android
87,Mężczyzna,4,6697,Północ,iOS
58,Mężczyzna,9,5910,Południe,macOS
79,Kobieta,4,19236,Wschód,macOS
75,Mężczyzna,10,13121,Centrum,Windows
28,Mężczyzna,8,7937,Wschód,Linux
25,Kobieta,1,17833,Centrum,Linux
66,Kobieta,2,9389,Południe,iOS
29,Kobieta,8,10050,Południe,iOS
36,Kobieta,7,8666,Centrum,Windows
28,Mężczyzna,9,19302,Północ,macOS
75,Kobieta,7,3587,Północ,macOS
88,Mężczyzna,6,17233,Południe,iOS
18,Mężczyzna,9,8615,Wschód,Linux
74,Kobieta,3,7855,Północ,iOS
23,Kobieta,10,19784,Północ,iOS
81,Kobieta,10,19948,Zachód,iOS
58,Mężczyzna,6,7044,Wschód,iOS
79,Kobieta,6,10036,Centrum,Android
26,Mężczyzna,10,19840,Zachód,Windows
66,Mężczyzna,7,1237,Wschód,macOS
70,Kobieta,10,4899,Południe,iOS
47,Kobieta,1,12792,Północ,iOS
76,Mężczyzna,2,13676,Centrum,macOS
46,Mężczyzna,10,17955,Południe,macOS
31,Mężczyzna,4,7579,Centrum,macOS
44,Kobieta,7,4321,Zachód,Windows
48,Kobieta,9,1630,Północ,Android
35,Mężczyzna,1,14710,Wschód,Android
56,Mężczyzna,3,18121,Północ,iOS
60,Mężczyzna,7,19243,Południe,iOS
64,Kobieta,7,11241,Centrum,Android
43,Kobieta,7,4391,Wschód,Linux
90,Kobieta,1,6163,Centrum,Windows
19,Kobieta,4,11295,Północ,Linux
86,Mężczyzna,9,5817,Południe,Windows
18,Mężczyzna,2,10458,Centrum,Android
37,Mężczyzna,3,8860,Centrum,macOS
46,Mężczyzna,3,5715,Północ,iOS
27,Kobieta,10,9712,Zachód,iOS
25,Kobieta,5,13276,Wschód,Android
75,Mężczyzna,8,2332,Wschód,macOS
88,Mężczyzna,9,2706,Wschód,Windows
47,Kobieta,6,18019,Północ,macOS
80,Kobieta,5,5688,Wschód,Android
89,Mężczyzna,5,4212,Centrum,iOS
49,Kobieta,5,5880,Południe,Linux
77,Mężczyzna,2,8535,Centrum,Windows
83,Kobieta,6,15292,Południe,Windows
42,Mężczyzna,10,17904,Północ,Android
73,Mężczyzna,7,19373,Południe,macOS
74,Mężczyzna,4,5675,Wschód,iOS
61,Kobieta,6,5151,Zachód,Windows
60,Mężczyzna,9,11648,Południe,iOS
59,Mężczyzna,3,1583,Północ,Windows
82,Mężczyzna,1,17490,Południe,Linux
57,Mężczyzna,2,10819,Północ,Linux
43,Mężczyzna,3,7101,Północ,Linux
88,Mężczyzna,7,18650,Centrum,iOS
22,Kobieta,8,12816,Centrum,Linux
48,Mężczyzna,8,10584,Zachód,macOS
83,Kobieta,10,15179,Południe,Android
32,Mężczyzna,10,6709,Północ,Android
77,Mężczyzna,9,9388,Wschód,Windows
40,Kobieta,3,17849,Południe,Android
69,Kobieta,8,1069,Centrum,macOS
38,Mężczyzna,8,6108,Zachód,macOS
31,Kobieta,2,15006,Zachód,iOS
53,Mężczyzna,10,12195,Północ,Android
52,Mężczyzna,2,17944,Centrum,macOS
32,Mężczyzna,6,3934,Zachód,Windows
32,Mężczyzna,7,17902,Południe,Linux
36,Mężczyzna,2,15418,Wschód,iOS
60,Mężczyzna,4,17754,Południe,macOS
75,Kobieta,5,17211,Centrum,iOS
34,Mężczyzna,9,15467,Południe,Windows
84,Mężczyzna,8,7692,Zachód,Windows
68,Kobieta,10,3255,Północ,Android
30,Kobieta,3,13027,Centrum,macOS
27,Kobieta,7,17302,Zachód,Windows
73,Mężczyzna,5,14661,Wschód,Linux
47,Kobieta,2,8139,Centrum,iOS
71,Kobieta,9,6353,Wschód,Windows
44,Mężczyzna,4,2363,Południe,Windows
90,Kobieta,2,16238,Zachód,Windows
28,Kobieta,2,6189,Wschód,macOS
36,Mężczyzna,6,16801,Południe,Android
27,Kobieta,2,5564,Centrum,macOS
37,Kobieta,3,5396,Wschód,macOS
72,Mężczyzna,4,17343,Północ,macOS
72,Kobieta,7,18740,Centrum,Windows
40,Mężczyzna,4,10825,Południe,iOS
23,Kobieta,9,7763,Centrum,Linux
90,Mężczyzna,9,15217,Centrum,macOS
89,Kobieta,1,13679,Południe,Android
65,Kobieta,4,11073,Centrum,Android
86,Mężczyzna,1,15335,Północ,macOS
27,Kobieta,5,15015,Południe,Windows
76,Mężczyzna,9,4120,Południe,Linux
37,Kobieta,8,14266,Północ,Android
43,Kobieta,6,11430,Zachód,Linux
70,Kobieta,1,5209,Południe,Android
