Wiek;Płeć;Ocena_satysfakcji;Dochód_miesięczny;Region;Preferowany_system
65;Kobieta;9;14646;Południe;Windows
78;Kobieta;4;6240;Zachód;Windows
83;Mężczyzna;9;1166;Wschód;Android
60;Kobieta;10;9224;Północ;Android
54;Mężczyzna;8;8031;Północ;macOS
26;Kobieta;8;1664;Centrum;iOS
81;Kobieta;4;14369;Centrum;macOS
41;Mężczyzna;8;1360;Północ;Android
20;Mężczyzna;6;1518;Zachód;Linux
55;Kobieta;6;12089;Wschód;Linux
24;Kobieta;2;16608;Zachód;Windows
69;Kobieta;3;8571;Wschód;Linux
88;Kobieta;8;5599;Północ;Android
66;Mężczyzna;2;18304;Północ;Windows
84;Mężczyzna;1;8771;Centrum;iOS
60;Mężczyzna;4;1195;Zachód;Windows
63;Mężczyzna;1;17021;Południe;iOS
42;Kobieta;9;14731;Wschód;Linux
19;Kobieta;9;16401;Południe;Windows
39;Kobieta;10;3713;Wschód;Linux
83;Mężczyzna;8;9295;Wschód;Android
56;Mężczyzna;4;2464;Centrum;macOS
77;Kobieta;9;8247;Północ;Android
83;Kobieta;2;5064;Wschód;Windows
23;Kobieta;8;1873;Zachód;macOS
42;Mężczyzna;3;3634;Wschód;Windows
70;Kobieta;2;13312;Centrum;iOS
31;Kobieta;5;8998;Północ;iOS
54;Kobieta;1;15894;Południe;Linux
22;Mężczyzna;2;7239;Północ;macOS
75;Kobieta;5;14492;Południe;Windows
62;Mężczyzna;7;3852;Północ;iOS
83;Kobieta;7;14118;Centrum;macOS
72;Mężczyzna;3;11662;Północ;Linux
39;Mężczyzna;2;18594;Centrum;iOS
87;Kobieta;1;12943;Centrum;Android
19;Mężczyzna;7;1973;Południe;Android
26;Mężczyzna;5;5363;Zachód;Android
34;Mężczyzna;9;4950;Centrum;Linux
67;Kobieta;3;1793;Wschód;macOS
67;Mężczyzna;10;11900;Południe;Linux
19;Kobieta;1;17896;Centrum;macOS
62;Mężczyzna;10;17986;Centrum;Windows
36;Kobieta;8;7143;Wschód;macOS
45;Mężczyzna;10;9258;Południe;macOS
63;Kobieta;5;3971;Zachód;Android
49;Mężczyzna;3;11321;Wschód;Android
39;Mężczyzna;2;17355;Centrum;Linux
22;Kobieta;3;5565;Zachód;Windows
30;Mężczyzna;3;19184;Zachód;Windows
39;Kobieta;6;19819;Południe;Linux
36;Kobieta;9;16800;Wschód;Android
42;Kobieta;2;5977;Północ;Android
69;Kobieta;9;11020;Wschód;Windows
33;Mężczyzna;4;6530;Zachód;iOS
62;Mężczyzna;9;8036;Zachód;Linux
72;Mężczyzna;8;4447;Północ;iOS
21;Kobieta;6;8488;Wschód;Windows
55;Kobieta;5;12095;Wschód;Android
55;Mężczyzna;2;18540;Południe;Android
78;Kobieta;10;3393;Południe;Windows
80;Mężczyzna;4;15479;Południe;macOS
54;Mężczyzna;5;13742;Centrum;Windows
40;Kobieta;8;18863;Północ;Windows
28;Kobieta;7;2126;Centrum;macOS
69;Mężczyzna;9;4921;Północ;Android
21;Mężczyzna;5;10070;Zachód;Android
35;Mężczyzna;5;11489;Południe;macOS
60;Mężczyzna;10;12757;Północ;macOS
36;Kobieta;2;2610;Wschód;Windows
69;Mężczyzna;8;3448;Centrum;Linux
34;Mężczyzna;10;11469;Północ;Windows
67;Mężczyzna;3;4988;Centrum;Linux
84;Kobieta;8;17525;Północ;macOS
35;Kobieta;8;11381;Północ;Android
18;Kobieta;2;15713;Centrum;macOS
84;Kobieta;5;9551;Centrum;Android
55;Kobieta;8;17429;Północ;Linux
25;Kobieta;2;7093;Wschód;iOS
48;Mężczyzna;10;4756;Południe;iOS
35;Kobieta;10;8475;Północ;macOS
42;Mężczyzna;8;17713;Wschód;macOS
19;Kobieta;9;18741;Wschód;iOS
21;Mężczyzna;5;14729;Zachód;Linux
68;Kobieta;2;15025;Wschód;macOS
30;Kobieta;6;18149;Północ;macOS
79;Mężczyzna;7;17622;Północ;Android
67;Mężczyzna;8;19943;Południe;macOS
53;Kobieta;10;1977;Centrum;Linux
72;Mężczyzna;8;8581;Centrum;Android
53;Mężczyzna;2;8687;Północ;iOS
23;Mężczyzna;5;3485;Wschód;Android
20;Mężczyzna;7;13185;Północ;macOS
63;Mężczyzna;6;10784;Południe;iOS
57;Kobieta;9;7188;Południe;Windows
52;Kobieta;5;1094;Centrum;Android
67;Mężczyzna;8;5066;Północ;Windows
67;Kobieta;6;16304;Wschód;iOS
44;Kobieta;6;17926;Południe;Android
51;Kobieta;8;15908;Wschód;Android
59;Mężczyzna;6;8225;Wschód;Android
35;Kobieta;5;15914;Północ;Android
65;Mężczyzna;8;7482;Północ;iOS
83;Mężczyzna;3;12397;Centrum;Android
51;Kobieta;9;13805;Północ;Windows
47;Kobieta;10;15791;Wschód;Linux
67;Kobieta;3;6251;Zachód;Linux
86;Mężczyzna;2;10393;Centrum;macOS
49;Kobieta;4;8907;Północ;Windows
25;Mężczyzna;6;9347;Południe;macOS
60;Mężczyzna;4;4790;Centrum;iOS
58;Mężczyzna;4;14230;Północ;Android
18;Mężczyzna;4;19713;Centrum;Linux
62;Kobieta;2;8841;Północ;Windows
63;Kobieta;4;14587;Południe;macOS
84;Kobieta;3;14941;Centrum;Linux
27;Kobieta;3;16705;Centrum;macOS
69;Mężczyzna;4;13272;Centrum;Linux
43;Kobieta;7;12277;Wschód;Windows
56;Mężczyzna;8;16520;Zachód;Android
89;Mężczyzna;7;17907;Północ;Android
59;Kobieta;7;13182;Centrum;Linux
22;Kobieta;8;15390;Centrum;Linux
66;Mężczyzna;5;12898;Zachód;Windows
40;Mężczyzna;9;18943;Południe;Windows
78;Kobieta;1;6240;Centrum;macOS
34;Kobieta;3;19198;Południe;Linux
46;Mężczyzna;6;9166;Zachód;Android
84;Mężczyzna;7;19435;Centrum;Windows
89;Kobieta;7;11452;Zachód;Android
39;Kobieta;8;10440;Południe;Android
70;Mężczyzna;2;14386;Południe;Windows
75;Kobieta;2;13976;Wschód;Android
30;Mężczyzna;9;12521;Południe;Android
83;Kobieta;8;11078;Północ;macOS
63;Kobieta;7;18013;Południe;Android
85;Mężczyzna;3;14750;Wschód;iOS
36;Mężczyzna;9;8346;Centrum;Android
66;Mężczyzna;8;13914;Południe;Linux
68;Kobieta;10;10733;Zachód;Windows
68;Kobieta;6;14583;Centrum;macOS
40;Kobieta;7;12795;Północ;Windows
67;Kobieta;1;1176;Wschód;macOS
80;Mężczyzna;8;14028;Wschód;iOS
63;Mężczyzna;10;18866;Zachód;iOS
44;Kobieta;6;17969;Południe;Android
65;Kobieta;4;2251;Południe;Linux
54;Mężczyzna;7;11899;Zachód;Android
88;Mężczyzna;10;2266;Wschód;Windows
20;Mężczyzna;7;10964;Południe;Linux
61;Mężczyzna;8;7662;Centrum;Windows
30;Mężczyzna;5;13147;Północ;Android
65;Kobieta;9;5822;Wschód;macOS
69;Mężczyzna;5;17979;Północ;Windows
48;Kobieta;5;15875;Centrum;Windows
75;Mężczyzna;2;7373;Wschód;macOS
56;Kobieta;4;8657;Wschód;Linux
52;Kobieta;4;13133;Południe;Linux
71;Kobieta;9;6155;Północ;iOS
79;Mężczyzna;3;4733;Północ;iOS
81;Kobieta;4;16839;Zachód;iOS
52;Kobieta;6;6314;Południe;Windows
47;Kobieta;2;2515;Centrum;iOS
68;Kobieta;9;4559;Centrum;iOS
33;Kobieta;10;19708;Zachód;iOS
27;Kobieta;1;18767;Centrum;iOS
36;Mężczyzna;2;8897;Centrum;macOS
43;Mężczyzna;4;13707;Południe;iOS
65;Mężczyzna;2;19536;Południe;Android
56;Mężczyzna;4;9910;Południe;iOS
87;Kobieta;3;5448;Wschód;Linux
39;Mężczyzna;4;12828;Zachód;Windows
18;Kobieta;7;18870;Wschód;macOS
55;Kobieta;2;15843;Centrum;Android
78;Mężczyzna;7;1967;Północ;macOS
42;Kobieta;4;2319;Zachód;Linux
83;Kobieta;5;13668;Południe;iOS
61;Mężczyzna;3;11381;Północ;Windows
39;Kobieta;3;6015;Zachód;iOS
24;Mężczyzna;1;5327;Centrum;iOS
75;Kobieta;1;18021;Południe;iOS
43;Mężczyzna;1;19868;Północ;Android
63;Mężczyzna;5;4021;Południe;Linux
45;Mężczyzna;5;15882;Południe;Linux
57;Mężczyzna;2;8683;Północ;Android
80;Kobieta;5;11244;Zachód;Android
23;Kobieta;3;9855;Wschód;macOS
39;Mężczyzna;10;18712;Zachód;Windows
55;Mężczyzna;9;12495;Wschód;Linux
37;Mężczyzna;6;18931;Południe;iOS
70;Kobieta;3;17088;Centrum;Windows
55;Mężczyzna;7;16866;Północ;Linux
85;Kobieta;9;19379;Północ;Linux
49;Mężczyzna;4;10786;Centrum;Windows
25;Kobieta;5;18840;Północ;Android
55;Kobieta;8;5280;Centrum;Android
30;Kobieta;8;15666;Północ;iOS
88;Kobieta;4;19236;Północ;Windows
37;Mężczyzna;4;18076;Wschód;Linux
27;Mężczyzna;6;6642;Centrum;Windows
42;Mężczyzna;9;18837;Centrum;Linux
35;Kobieta;4;10061;Wschód;macOS
26;Kobieta;4;9277;Północ;macOS
88;Kobieta;6;5381;Południe;iOS
55;Kobieta;1;9443;Centrum;macOS
45;Kobieta;8;8918;Zachód;iOS
73;Kobieta;7;18753;Południe;macOS
74;Mężczyzna;2;3175;Wschód;Linux
49;Mężczyzna;7;2136;Zachód;Android
40;Mężczyzna;9;14930;Południe;iOS
53;Kobieta;1;2639;Wschód;Windows
29;Mężczyzna;3;4108;Centrum;iOS
47;Mężczyzna;9;15512;Południe;Android
81;Kobieta;6;10309;Południe;Windows
41;Kobieta;9;8201;Południe;Linux
63;Kobieta;10;7137;Północ;Windows
18;Mężczyzna;2;12905;Centrum;Linux
24;Mężczyzna;2;2633;Zachód;iOS
77;Kobieta;8;15503;Północ;Linux
83;Kobieta;3;10613;Południe;Linux
48;Mężczyzna;2;17317;Południe;Windows
54;Kobieta;7;6205;Centrum;Windows
30;Kobieta;4;11763;Wschód;Android
22;Kobieta;8;15349;Zachód;iOS
34;Kobieta;9;15940;Centrum;macOS
32;Kobieta;9;4303;Południe;Windows
83;Mężczyzna;8;9908;Północ;iOS
30;Kobieta;3;19359;Wschód;Windows
59;Kobieta;4;3796;Południe;macOS
40;Mężczyzna;6;13795;Północ;Linux
63;Kobieta;1;3929;Północ;macOS
63;Kobieta;5;7029;Północ;Windows
38;Kobieta;10;4841;Południe;Android
18;Kobieta;2;12617;Wschód;Linux
26;Mężczyzna;1;1125;Północ;Windows
68;Mężczyzna;2;14246;Zachód;macOS
72;Kobieta;9;8793;Centrum;Windows
41;Kobieta;3;11018;Zachód;iOS
81;Kobieta;8;2417;Południe;Windows
22;Kobieta;2;10925;Północ;iOS
52;Kobieta;4;14979;Północ;macOS
61;Kobieta;10;18872;Zachód;iOS
64;Mężczyzna;10;13447;Centrum;iOS
50;Mężczyzna;10;10183;Zachód;Android
89;Mężczyzna;10;17001;Zachód;iOS
50;Mężczyzna;9;15552;Centrum;macOS
67;Kobieta;1;17494;Centrum;macOS
48;Mężczyzna;6;10682;Zachód;Windows
35;Kobieta;4;13377;Wschód;iOS
66;Mężczyzna;5;4874;Południe;iOS
57;Mężczyzna;7;11100;Północ;Windows
70;Mężczyzna;6;11828;Południe;iOS
25;Kobieta;7;1157;Wschód;Windows
79;Mężczyzna;6;7858;Południe;iOS
78;Mężczyzna;9;9607;Zachód;Linux
45;Kobieta;6;8213;Wschód;macOS
30;Mężczyzna;2;18676;Północ;Android
51;Mężczyzna;5;12805;Centrum;Android
81;Kobieta;1;12288;Południe;Windows
52;Kobieta;5;13016;Północ;macOS
60;Mężczyzna;9;12630;Wschód;Windows
40;Mężczyzna;10;5887;Centrum;macOS
21;Kobieta;7;12868;Północ;iOS
35;Kobieta;7;13909;Wschód;Android
57;Mężczyzna;4;4816;Północ;Windows
72;Mężczyzna;6;17383;Zachód;Windows
44;Mężczyzna;4;2017;Centrum;Windows
52;Kobieta;6;15972;Zachód;Windows
32;Mężczyzna;5;5371;Centrum;Android
20;Kobieta;3;7187;Centrum;Windows
48;Mężczyzna;9;17999;Zachód;Linux
68;Kobieta;7;3445;Południe;Android
19;Kobieta;2;4396;Północ;Android
87;Kobieta;10;1243;Zachód;Android
75;Mężczyzna;5;7976;Południe;macOS
74;Kobieta;9;6710;Południe;Windows
79;Kobieta;10;17312;Południe;macOS
67;Kobieta;2;8882;Północ;macOS
42;Mężczyzna;3;13469;Północ;Linux
38;Kobieta;7;19690;Północ;Linux
39;Kobieta;8;10331;Zachód;iOS
31;Kobieta;10;19776;Południe;macOS
52;Kobieta;6;16214;Południe;iOS
49;Mężczyzna;2;3158;Północ;macOS
29;Kobieta;1;17532;Północ;iOS
27;Mężczyzna;1;15849;Południe;macOS
18;Mężczyzna;7;3171;Wschód;Windows
58;Mężczyzna;5;2023;Południe;macOS
78;Kobieta;6;4189;Centrum;iOS
45;Kobieta;6;6811;Północ;iOS
87;Kobieta;7;4569;Południe;macOS
82;Mężczyzna;2;11686;Południe;macOS
79;Kobieta;3;4206;Południe;iOS
55;Kobieta;3;9961;Północ;Windows
39;Mężczyzna;3;10281;Północ;Windows
74;Kobieta;10;16042;Południe;Android
80;Mężczyzna;9;17345;Centrum;Windows
25;Kobieta;10;19908;Południe;iOS
69;Mężczyzna;7;15003;Północ;Windows
88;Mężczyzna;4;5626;Południe;Linux
69;Kobieta;1;3060;Centrum;Android
89;Kobieta;3;6064;Północ;iOS
73;Kobieta;5;2937;Wschód;macOS
79;Mężczyzna;7;15972;Centrum;Android
28;Kobieta;6;16964;Wschód;Windows
41;Kobieta;7;6564;Południe;Windows
78;Kobieta;6;15665;Wschód;iOS
68;Kobieta;2;3228;Północ;Windows
69;Kobieta;3;2690;Wschód;Android
59;Mężczyzna;7;17518;Wschód;Android
21;Mężczyzna;4;17368;Północ;Android
57;Kobieta;1;10434;Zachód;iOS
60;Mężczyzna;8;13553;Zachód;iOS
35;Mężczyzna;4;15909;Północ;Windows
21;Kobieta;6;8790;Centrum;Android
28;Mężczyzna;2;8791;Północ;Windows
88;Mężczyzna;10;6054;Południe;iOS
29;Mężczyzna;2;17924;Południe;iOS
55;Mężczyzna;1;14059;Południe;macOS
76;Kobieta;10;19721;Południe;macOS
63;Kobieta;9;5758;Zachód;macOS
52;Kobieta;3;11311;Północ;macOS
56;Kobieta;7;6880;Zachód;Linux
65;Mężczyzna;10;14073;Wschód;Linux
40;Mężczyzna;10;5720;Centrum;macOS
48;Kobieta;4;13036;Zachód;Android
79;Kobieta;4;17512;Zachód;Android
38;Mężczyzna;5;8101;Zachód;iOS
58;Mężczyzna;8;17110;Południe;iOS
36;Kobieta;3;14135;Centrum;Linux
20;Mężczyzna;5;10132;Wschód;Android
55;Kobieta;1;1114;Zachód;iOS
78;Kobieta;9;12246;Centrum;Linux
30;Mężczyzna;10;19598;Południe;Windows
65;Mężczyzna;8;14474;Zachód;iOS
46;Kobieta;5;10251;Zachód;Linux
67;Mężczyzna;8;16112;Centrum;Windows
28;Kobieta;7;18081;Centrum;Linux
68;Mężczyzna;3;12378;Zachód;Windows
34;Mężczyzna;8;11929;Centrum;iOS
34;Kobieta;9;6561;Zachód;iOS
49;Mężczyzna;2;13145;Zachód;Windows
41;Kobieta;9;3871;Wschód;Windows
88;Kobieta;3;12770;Południe;Android
84;Kobieta;1;8884;Zachód;iOS
23;Mężczyzna;10;12287;Zachód;Android
78;Kobieta;2;5794;Południe;Windows
30;Kobieta;9;15466;Wschód;Linux
80;Kobieta;2;16702;Południe;macOS
78;Mężczyzna;8;12279;Południe;macOS
39;Mężczyzna;1;10933;Północ;Linux
44;Mężczyzna;10;3129;Południe;Android
41;Kobieta;8;12358;Północ;Linux
82;Kobieta;6;4523;Centrum;iOS
51;Mężczyzna;6;2724;Centrum;Android
24;Mężczyzna;6;5680;Centrum;Linux
82;Mężczyzna;3;14211;Zachód;Linux
49;Kobieta;5;4563;Wschód;macOS
47;Mężczyzna;2;8468;Południe;iOS
38;Kobieta;8;9915;Północ;macOS
37;Kobieta;2;18004;Zachód;macOS
83;Kobieta;7;5106;Wschód;Linux
72;Kobieta;7;4806;Zachód;Linux
53;Kobieta;8;7170;Zachód;Linux
76;Mężczyzna;2;6487;Północ;Android
81;Kobieta;3;2838;Południe;Windows
32;Kobieta;7;10017;Zachód;iOS
80;Kobieta;10;10261;Centrum;Android
34;Kobieta;10;6027;Wschód;iOS
80;Kobieta;1;14486;Wschód;iOS
73;Mężczyzna;6;19499;Centrum;Linux
29;Mężczyzna;6;5937;Wschód;Windows
62;Mężczyzna;7;13684;Północ;Linux
29;Mężczyzna;3;1347;Północ;macOS
29;Mężczyzna;8;13221;Północ;Windows
42;Kobieta;9;7543;Zachód;Linux
31;Kobieta;7;4050;Północ;Linux
83;Kobieta;3;3924;Północ;macOS
51;Mężczyzna;4;7124;Zachód;Windows
88;Kobieta;10;18412;Południe;Linux
88;Kobieta;4;16453;Wschód;macOS
51;Mężczyzna;6;8690;Północ;Windows
46;Mężczyzna;9;7424;Południe;iOS
72;Kobieta;9;11407;Wschód;Linux
71;Kobieta;5;9312;Wschód;Android
85;Kobieta;2;8854;Wschód;macOS
57;Kobieta;9;7880;Centrum;macOS
41;Mężczyzna;4;16168;Południe;iOS
44;Kobieta;9;2812;Wschód;macOS
19;Kobieta;10;12608;Północ;iOS
88;Kobieta;5;13782;Wschód;Android
49;Mężczyzna;7;2200;Centrum;iOS
31;Mężczyzna;4;12138;Wschód;Android
66;Mężczyzna;5;11908;Wschód;Linux
83;Mężczyzna;2;3002;Zachód;iOS
52;Kobieta;4;9109;Zachód;Linux
